iter	RMSE
0	77252.80754
1	73022.30552
2	69065.79262
3	65276.91942
4	61639.78482
5	58427.62322
6	55659.8265
7	52859.40907
8	50337.69165
9	48215.34304
10	46029.23903
11	44127.84394
12	42502.72548
13	40830.37665
14	39265.2673
15	38060.76135
16	36955.32277
17	36042.90165
18	34933.39639
19	34005.75916
20	33062.36542
21	32177.83116
22	31561.78123
23	30763.43477
24	29921.31234
25	29232.45155
26	28642.40861
27	28149.5349
28	27652.4885
29	27276.38437
30	26822.50033
31	26295.31095
32	25889.28145
33	25648.36214
34	25342.5651
35	24983.56979
36	24631.42645
37	24297.95159
38	23991.06022
39	23928.45065
40	23612.67801
41	23470.60514
42	23240.57856
43	23013.95717
44	22833.2277
45	22687.07388
46	22378.04707
47	22259.15801
48	22080.65417
49	21879.53608
50	21699.98749
51	21520.54924
52	21414.21422
53	21279.99276
54	21104.64459
55	20931.57975
56	20779.53303
57	20653.83979
58	20531.63753
59	20402.54038
60	20332.47067
61	20111.52235
62	20011.57039
63	19826.76807
64	19696.06703
65	19523.22153
66	19431.40439
67	19352.65739
68	19284.8638
69	19111.83932
70	18953.73696
71	18839.09607
72	18736.79064
73	18657.10672
74	18576.2191
75	18507.79021
76	18445.36636
77	18366.98214
78	18310.80458
79	18159.65147
80	18087.2899
81	18000.22515
82	17877.26583
83	17790.80268
84	17762.33753
85	17714.3804
86	17653.90599
87	17530.8095
88	17498.19796
89	17456.963
90	17364.44224
91	17249.8622
92	17153.65255
93	17063.47753
94	16983.99035
95	16947.82705
96	16892.73665
97	16788.65535
98	16709.99647
99	16629.71254
100	16526.4051
101	16468.46257
102	16426.53182
103	16322.45223
104	16217.03371
105	16146.57363
106	16075.25897
107	16023.21645
108	15992.98327
109	15911.04567
110	15901.19177
111	15876.85286
112	15854.9568
113	15773.25746
114	15703.36322
115	15631.33024
116	15509.70915
117	15452.62595
118	15406.5788
119	15344.83518
120	15278.73253
121	15226.03513
122	15160.83541
123	15124.09934
124	15059.36905
125	15048.74688
126	14953.98444
127	14872.17623
128	14827.70688
129	14747.40542
130	14642.2017
131	14571.17503
132	14549.57072
133	14543.53253
134	14536.50789
135	14430.35017
136	14360.2692
137	14271.21528
138	14213.86841
139	14161.08285
140	14140.01098
141	14128.53802
142	14025.30282
143	13977.31725
144	13923.23314
145	13877.28202
146	13863.24753
147	13803.52023
148	13736.44222
149	13675.57438
150	13621.76923
151	13548.95827
152	13505.97994
153	13481.30543
154	13397.86036
155	13344.55461
156	13258.76575
157	13197.67112
158	13183.02743
159	13178.29219
160	13109.06676
161	13034.19982
162	12986.6299
163	12924.80837
164	12897.61106
165	12831.60314
166	12775.43316
167	12739.41297
168	12679.54889
169	12627.27004
170	12578.87375
171	12514.09549
172	12480.82697
173	12433.98621
174	12370.25561
175	12365.18419
176	12321.43032
177	12280.81634
178	12240.12959
179	12194.80307
180	12153.38481
181	12102.58206
182	12047.37023
183	11965.93564
184	11955.61494
185	11903.02207
186	11834.21607
187	11811.71629
188	11758.80117
189	11747.5714
190	11681.65009
191	11634.77128
192	11595.95824
193	11548.96329
194	11492.76745
195	11447.04103
196	11391.09075
197	11313.19025
198	11276.09504
199	11218.3222
200	11152.7426
201	11077.78431
202	11045.11226
203	10986.90712
204	10930.31313
205	10892.19385
206	10853.12255
207	10807.10485
208	10777.56862
209	10755.08501
210	10686.2339
211	10639.25861
212	10617.08935
213	10578.13185
214	10544.11059
215	10530.33953
216	10501.56968
217	10454.76696
218	10430.40912
219	10423.10055
220	10378.83742
221	10372.34547
222	10325.95162
223	10280.18454
224	10248.62184
225	10212.27021
226	10164.48172
227	10120.09676
228	10082.43863
229	10032.39098
230	10024.085
231	9982.846864
232	9950.28692
233	9937.352394
234	9864.829549
235	9827.054423
236	9784.625403
237	9761.194223
238	9726.071613
239	9680.1823
240	9636.586686
241	9604.850528
242	9559.52068
243	9503.104182
244	9488.260627
245	9453.266861
246	9407.255686
247	9361.660331
248	9358.218571
249	9313.259987
250	9262.608828
251	9223.357476
252	9187.194969
253	9176.976407
254	9115.905427
255	9094.9037
256	9061.308945
257	9028.550934
258	8995.533139
259	8962.576158
260	8947.437731
261	8905.145239
262	8899.452422
263	8864.650584
264	8833.589924
265	8799.174887
266	8781.639586
267	8778.413657
268	8756.373844
269	8702.046312
270	8676.46172
271	8632.522107
272	8630.271346
273	8601.357605
274	8551.202993
275	8532.054833
276	8505.714012
277	8464.067372
278	8412.881972
279	8358.267717
280	8341.07584
281	8307.073342
282	8277.951137
283	8252.215723
284	8248.217603
285	8212.658553
286	8170.783725
287	8141.132662
288	8139.370419
289	8130.606753
290	8098.171317
291	8075.631533
292	8059.080588
293	8031.658507
294	8006.697612
295	7981.951344
296	7957.458718
297	7932.543997
298	7890.397365
299	7888.777995
300	7871.26371
301	7840.687421
302	7816.690473
303	7781.76208
304	7741.460369
