iter	Passed	Remaining
0	50	50319
1	52	26350
2	55	18356
3	57	14367
4	60	12048
5	63	10482
6	65	9327
7	68	8475
8	70	7801
9	73	7258
10	76	6894
11	79	6580
12	82	6254
13	85	5989
14	87	5744
15	89	5529
16	95	5496
17	97	5337
18	100	5176
19	102	5046
20	105	4916
21	108	4843
22	112	4759
23	114	4655
24	116	4556
25	119	4485
26	122	4405
27	126	4388
28	129	4333
29	131	4260
30	134	4190
31	136	4131
32	139	4099
33	142	4055
34	145	4008
35	147	3955
36	149	3904
37	152	3857
38	156	3847
39	158	3810
40	161	3768
41	163	3729
42	165	3689
43	168	3652
44	172	3658
45	174	3625
46	177	3592
47	179	3560
48	182	3532
49	184	3502
50	187	3495
51	190	3479
52	193	3451
53	195	3425
54	198	3402
55	200	3377
56	203	3372
57	206	3361
58	209	3342
59	211	3319
60	214	3297
61	217	3290
62	220	3275
63	222	3255
64	225	3244
65	227	3224
66	230	3204
67	233	3197
68	236	3191
69	238	3174
70	241	3156
71	243	3140
72	246	3124
73	249	3115
74	252	3110
75	254	3094
76	256	3078
77	259	3063
78	261	3049
79	264	3039
80	267	3036
81	270	3023
82	272	3009
83	274	2995
84	277	2984
85	280	2976
86	283	2971
87	285	2962
88	288	2948
89	290	2936
90	293	2928
91	296	2927
92	299	2918
93	301	2909
94	304	2899
95	306	2887
96	308	2876
97	312	2879
98	315	2872
99	317	2860
100	320	2855
101	323	2844
102	325	2834
103	329	2841
104	332	2831
105	334	2821
106	336	2811
107	339	2805
108	341	2795
109	345	2795
110	348	2790
111	350	2782
112	353	2772
113	355	2765
114	358	2757
115	361	2757
116	364	2751
117	366	2742
118	369	2733
119	371	2724
120	373	2716
121	377	2716
122	379	2708
123	382	2702
124	384	2694
125	387	2684
126	389	2676
127	392	2676
128	395	2668
129	398	2664
130	400	2656
131	402	2648
132	405	2641
133	408	2641
134	411	2634
135	415	2639
136	418	2638
137	421	2635
138	424	2628
139	426	2621
140	428	2613
141	431	2605
142	433	2599
143	436	2592
144	439	2591
145	442	2588
146	444	2581
147	447	2574
148	450	2570
149	453	2567
150	456	2566
151	459	2561
152	461	2554
153	463	2547
154	466	2541
155	469	2541
156	472	2537
157	475	2531
158	477	2525
159	479	2519
160	482	2512
161	485	2513
162	488	2509
163	490	2502
164	493	2498
165	496	2492
166	498	2485
167	502	2486
168	504	2480
169	506	2474
170	509	2468
171	512	2465
172	514	2458
173	517	2457
174	520	2455
175	523	2449
176	525	2443
177	528	2439
178	532	2440
179	534	2435
180	537	2431
181	539	2425
182	542	2420
183	544	2415
184	547	2411
185	550	2410
186	553	2405
187	555	2399
188	557	2393
189	560	2388
190	562	2384
191	566	2382
192	568	2377
193	571	2373
194	573	2368
195	576	2363
196	578	2360
197	581	2356
198	584	2350
199	586	2345
200	588	2341
201	591	2336
202	594	2332
203	597	2331
204	600	2326
205	602	2321
206	604	2316
207	607	2311
208	610	2310
209	614	2312
210	617	2308
211	619	2303
212	622	2299
213	625	2298
214	628	2295
215	631	2290
216	633	2285
217	635	2280
218	638	2275
219	641	2275
220	644	2272
221	647	2267
222	649	2262
223	651	2257
224	654	2252
225	657	2253
226	660	2249
227	663	2245
228	665	2241
229	668	2236
230	670	2231
231	674	2232
232	676	2228
233	679	2223
234	681	2218
235	684	2214
236	686	2210
237	689	2208
238	692	2206
239	695	2201
240	697	2197
241	700	2193
242	702	2188
243	706	2187
244	709	2185
245	711	2180
246	713	2176
247	716	2171
248	718	2167
249	722	2166
250	724	2162
251	727	2158
252	729	2153
253	731	2149
254	734	2145
255	737	2144
256	740	2140
257	743	2137
258	745	2133
259	748	2129
260	751	2127
261	753	2123
262	756	2119
263	758	2114
264	761	2111
265	763	2107
266	766	2103
267	769	2102
268	772	2098
269	774	2094
270	777	2090
271	779	2086
272	782	2083
273	785	2081
274	788	2077
275	790	2073
276	792	2069
277	795	2065
278	798	2062
279	801	2060
280	803	2056
281	806	2052
282	808	2048
283	810	2044
284	813	2041
285	817	2039
286	819	2035
287	822	2032
288	824	2028
289	826	2024
290	830	2023
291	833	2020
292	835	2016
293	837	2012
294	840	2008
295	842	2004
296	845	2001
297	849	2000
298	851	1996
299	854	1992
300	856	1988
301	859	1985
302	862	1984
303	865	1980
304	867	1977
305	870	1973
306	872	1969
307	875	1965
308	878	1964
309	881	1961
310	883	1958
311	886	1954
312	888	1950
313	891	1947
314	896	1948
315	899	1946
316	901	1942
317	904	1939
318	906	1935
319	911	1936
320	913	1933
321	916	1929
322	918	1925
323	921	1922
324	923	1918
325	927	1916
326	929	1913
327	932	1909
328	934	1906
329	937	1903
330	941	1902
331	944	1900
332	947	1896
333	949	1893
334	951	1889
335	954	1886
336	957	1884
337	960	1880
338	963	1879
339	966	1875
340	968	1871
341	971	1869
342	974	1866
343	976	1862
344	979	1859
345	981	1855
346	984	1851
347	986	1848
348	989	1845
349	991	1841
350	993	1837
351	996	1834
352	998	1830
353	1001	1827
354	1005	1826
355	1007	1822
356	1009	1818
357	1012	1815
358	1015	1812
359	1018	1809
360	1020	1807
361	1023	1804
362	1025	1800
363	1028	1796
364	1030	1793
365	1033	1791
366	1036	1788
367	1039	1784
368	1041	1781
369	1044	1777
370	1046	1774
371	1049	1772
372	1052	1769
373	1055	1766
374	1058	1763
375	1060	1760
376	1063	1756
377	1067	1756
378	1070	1753
379	1072	1750
380	1074	1746
381	1077	1743
382	1079	1739
383	1082	1737
384	1085	1733
385	1087	1730
386	1090	1726
387	1092	1723
388	1095	1720
389	1098	1718
390	1101	1715
391	1103	1712
392	1106	1708
393	1109	1705
394	1112	1703
395	1115	1701
396	1117	1697
397	1120	1694
398	1122	1691
399	1125	1687
400	1128	1685
401	1131	1683
402	1134	1679
403	1136	1676
404	1138	1673
405	1141	1669
406	1145	1669
407	1148	1666
408	1150	1662
409	1153	1659
410	1155	1655
411	1157	1652
412	1161	1650
413	1163	1647
414	1166	1643
415	1168	1640
416	1171	1637
417	1174	1635
418	1177	1632
419	1179	1629
420	1182	1625
421	1184	1622
422	1186	1618
423	1189	1615
424	1192	1613
425	1195	1610
426	1197	1607
427	1200	1604
428	1202	1600
429	1205	1597
430	1208	1595
431	1211	1592
432	1213	1589
433	1216	1586
434	1218	1582
435	1221	1580
436	1224	1577
437	1227	1574
438	1229	1571
439	1232	1568
440	1234	1564
441	1236	1561
442	1240	1560
443	1243	1556
444	1245	1553
445	1248	1550
446	1250	1547
447	1253	1544
448	1256	1541
449	1258	1538
450	1261	1535
451	1263	1532
452	1266	1529
453	1269	1526
454	1272	1523
455	1275	1521
456	1277	1518
457	1280	1515
458	1283	1512
459	1286	1510
460	1289	1507
461	1292	1504
462	1294	1501
463	1296	1498
464	1299	1495
465	1303	1493
466	1305	1490
467	1308	1487
468	1310	1484
469	1313	1480
470	1315	1477
471	1319	1476
472	1322	1473
473	1324	1469
474	1326	1466
475	1329	1463
476	1331	1460
477	1335	1458
478	1338	1455
479	1340	1452
480	1342	1448
481	1345	1445
482	1347	1442
483	1351	1440
484	1353	1437
485	1356	1434
486	1358	1431
487	1360	1427
488	1364	1426
489	1367	1423
490	1371	1421
491	1374	1419
492	1377	1416
493	1381	1415
494	1383	1411
495	1386	1408
496	1388	1405
497	1391	1403
498	1394	1400
499	1397	1397
500	1400	1394
501	1402	1391
502	1405	1388
503	1407	1385
504	1410	1382
505	1413	1380
506	1416	1377
507	1419	1374
508	1421	1371
509	1423	1367
510	1426	1365
511	1429	1362
512	1432	1359
513	1434	1356
514	1437	1353
515	1439	1350
516	1442	1347
517	1445	1345
518	1448	1342
519	1451	1339
520	1453	1336
521	1455	1333
522	1459	1331
523	1462	1328
524	1465	1325
525	1467	1322
526	1469	1319
527	1472	1316
528	1475	1313
529	1477	1310
530	1480	1307
531	1482	1304
532	1485	1301
533	1487	1298
534	1491	1295
535	1494	1293
536	1497	1290
537	1499	1287
538	1502	1284
539	1504	1281
540	1507	1279
541	1510	1276
542	1512	1273
543	1515	1270
